python3 "lstm_classification.py"
read data
create lstm nn
build train and test data
start learning 0
Iter 23, Minibatch Loss: 0.378112, Training Accuracy: 0.78261
Iter 46, Minibatch Loss: 0.272900, Training Accuracy: 0.86957
Iter 69, Minibatch Loss: 0.197622, Training Accuracy: 0.95652
Iter 92, Minibatch Loss: 0.145750, Training Accuracy: 1.00000
Iter 115, Minibatch Loss: 0.110143, Training Accuracy: 1.00000
Iter 138, Minibatch Loss: 0.085607, Training Accuracy: 1.00000
Iter 161, Minibatch Loss: 0.068645, Training Accuracy: 1.00000
Iter 184, Minibatch Loss: 0.056809, Training Accuracy: 1.00000
Iter 207, Minibatch Loss: 0.048365, Training Accuracy: 1.00000
Iter 230, Minibatch Loss: 0.042113, Training Accuracy: 1.00000
Iter 253, Minibatch Loss: 0.037267, Training Accuracy: 1.00000
Iter 276, Minibatch Loss: 0.033331, Training Accuracy: 1.00000
Iter 299, Minibatch Loss: 0.030004, Training Accuracy: 1.00000
Iter 322, Minibatch Loss: 0.027101, Training Accuracy: 1.00000
Iter 345, Minibatch Loss: 0.024517, Training Accuracy: 1.00000
Iter 368, Minibatch Loss: 0.022188, Training Accuracy: 1.00000
Iter 391, Minibatch Loss: 0.020079, Training Accuracy: 1.00000
Iter 414, Minibatch Loss: 0.018169, Training Accuracy: 1.00000
Iter 437, Minibatch Loss: 0.016445, Training Accuracy: 1.00000
Iter 460, Minibatch Loss: 0.014896, Training Accuracy: 1.00000
Iter 483, Minibatch Loss: 0.013511, Training Accuracy: 1.00000
Iter 506, Minibatch Loss: 0.012280, Training Accuracy: 1.00000
Iter 529, Minibatch Loss: 0.011190, Training Accuracy: 1.00000
Iter 552, Minibatch Loss: 0.010228, Training Accuracy: 1.00000
Iter 575, Minibatch Loss: 0.009380, Training Accuracy: 1.00000
Iter 598, Minibatch Loss: 0.008633, Training Accuracy: 1.00000
Iter 621, Minibatch Loss: 0.007976, Training Accuracy: 1.00000
Iter 644, Minibatch Loss: 0.007398, Training Accuracy: 1.00000
Iter 667, Minibatch Loss: 0.006887, Training Accuracy: 1.00000
Iter 690, Minibatch Loss: 0.006436, Training Accuracy: 1.00000
Iter 713, Minibatch Loss: 0.006036, Training Accuracy: 1.00000
Iter 736, Minibatch Loss: 0.005681, Training Accuracy: 1.00000
Iter 759, Minibatch Loss: 0.005364, Training Accuracy: 1.00000
Iter 782, Minibatch Loss: 0.005081, Training Accuracy: 1.00000
Iter 805, Minibatch Loss: 0.004827, Training Accuracy: 1.00000
Iter 828, Minibatch Loss: 0.004598, Training Accuracy: 1.00000
Iter 851, Minibatch Loss: 0.004392, Training Accuracy: 1.00000
Iter 874, Minibatch Loss: 0.004205, Training Accuracy: 1.00000
Iter 897, Minibatch Loss: 0.004035, Training Accuracy: 1.00000
Iter 920, Minibatch Loss: 0.003880, Training Accuracy: 1.00000
Iter 943, Minibatch Loss: 0.003738, Training Accuracy: 1.00000
Iter 966, Minibatch Loss: 0.003608, Training Accuracy: 1.00000
Iter 989, Minibatch Loss: 0.003489, Training Accuracy: 1.00000
Optimization Finished!
Testing Accuracy: 0.777778
build train and test data
start learning 1
Iter 24, Minibatch Loss: 1.685950, Training Accuracy: 0.45833
Iter 48, Minibatch Loss: 1.526725, Training Accuracy: 0.45833
Iter 72, Minibatch Loss: 1.375569, Training Accuracy: 0.45833
Iter 96, Minibatch Loss: 1.232453, Training Accuracy: 0.45833
Iter 120, Minibatch Loss: 1.098028, Training Accuracy: 0.45833
Iter 144, Minibatch Loss: 0.973220, Training Accuracy: 0.45833
Iter 168, Minibatch Loss: 0.858988, Training Accuracy: 0.45833
Iter 192, Minibatch Loss: 0.756121, Training Accuracy: 0.50000
Iter 216, Minibatch Loss: 0.665074, Training Accuracy: 0.54167
Iter 240, Minibatch Loss: 0.585859, Training Accuracy: 0.62500
Iter 264, Minibatch Loss: 0.518003, Training Accuracy: 0.83333
Iter 288, Minibatch Loss: 0.460603, Training Accuracy: 0.87500
Iter 312, Minibatch Loss: 0.412455, Training Accuracy: 0.91667
Iter 336, Minibatch Loss: 0.372215, Training Accuracy: 0.91667
Iter 360, Minibatch Loss: 0.338548, Training Accuracy: 0.91667
Iter 384, Minibatch Loss: 0.310243, Training Accuracy: 0.91667
Iter 408, Minibatch Loss: 0.286267, Training Accuracy: 0.91667
Iter 432, Minibatch Loss: 0.265783, Training Accuracy: 0.91667
Iter 456, Minibatch Loss: 0.248128, Training Accuracy: 0.91667
